chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
1,J 1:1,P66,Εν,[OMIT],omission,εν Εν αρχη ην ο λογος και,εν αρχη ην ο λογος και
1,J 1:1,aleph,Εν,[OMIT],omission,εν Εν αρχη ην ο λογος και,εν αρχη ην ο λογος και
1,J 1:1,A,εν,[OMIT],omission,εν Εν αρχη ην ο λογος,Εν αρχη ην ο λογος
1,J 1:1,D,Εν,[OMIT],omission,εν Εν αρχη ην ο λογος και,εν αρχη ην ο λογος και
1,J 1:3,D,[ADD],δια,addition,παντα δι αυτου εγενε το και χωρις,παντα δι δια αυτου ενεγετο και χωρις αυτου
1,J 1:4,P66,εν,[OMIT],omission,εν αυτω ζωη ην και η,αυτω ζωη ην και η
1,J 1:6,D,[ADD],εν ην,addition,ανθρωπος απεσταλ μενος παρα θυ ονομα αυτω ϊωανης,ανθρωπος απεσταλμενος παρα κυ θυ εν ην ονομα αυτω ϊωαννην ϊωαννης
1,J 1:12,D,[ADD],αυτω,addition,οσοι δε ελαβαν αυτον εδωκεν αυτοις εξου σιαν τεκνα θυ,οσοι ελαβον αυτον εδων εδωκεν αυτω αυτοις εξουσιαν τεκνα θυ γενεσθαι
1,J 1:14,P66,κατα,[OMIT],omission,εν η μιν και εθεασαμεθα κατα την δοξαν αυτου δο ξαν,εσκηνωσεν εν ημει¯ και εθεασαμεθα την δοξαν αυτου δο ξαν
1,J 1:14,D,κατα,[OMIT],omission,εν η μιν και εθεασαμεθα κατα την δοξαν αυτου δο ξαν,εσκηνωσεν εν ημειν και εθεασαμεθα την δοξαν αυτου δοξαν ως
1,J 1:15,P66,οτι,ο τι,substitution_morphological,ερχομε νος εμπροσθεν μου γεγονεν οτι πρωτος μου ην,ερχο μενος εμπροσθεν μου γεγονεν ο τι πρωτος μου ην
1,J 1:16,A,οτι,Και,substitution_lexical,οτι εκ του πλη ρωματος αυτου,Και εκ του πληρωματος αυτου ημεις
1,J 1:17,P66,[ADD],δε,addition,μωϋ σεως εδοθη η χαρις και η αληθεια δια ιυ,δια μωϋσεως' εδοθη η χαρις δε και η αληθια δια ιυ
1,J 1:21,P66,ουν τι,[OMIT],omission,και ηρωτησαν αυτο¯ συ ουν τι ηλειας ει και λεγει ουκ,σαν αυτον τις ουν συ ηλειας ει και λεγει ουκ
1,J 1:21,aleph,και,[OMIT],omission,συ ουν τι ηλειας ει και λεγει ουκ ειμι ο προφη,παλιν τι ου¯ ηλιας ει λεγει ου κ ειμι ο
1,J 1:22,P66,[ADD],συ,addition,ειπαν ουν αυτω τις ει ϊνα αποκρισιν δωμε¯,ειπαν ουν αυτω συ τις ει ϊ να αποκρισιν
1,J 1:24,aleph,[ADD],οι,addition,και απεσταλμε νοι ησαν εκ των,και οι απεσταλμε νοι ησαν εκ των
1,J 1:26,aleph,[ADD],τω,addition,λεγων εγω βαπτι ζω εν ϋδατι μεσος ϋμω¯ στηκει ον,ϊωαννης λεγω¯ εγω βαπτιζω εν τω ϋδατι μεσος ϋμων εστηκει ον
1,J 1:27,P66,[ADD],ο,addition,οπισω μου ερχο μενος ου,ο οπισω μου ερχομενος ου ουκ
1,J 1:27,P66,αυτου,τον,substitution_morphological,ειμι εγω αξιος ϊνα λυσω αυτου τον ϊμαντα του ϋποδη ματος,ειμι εγω ικανος ϊνα λυσω τον τον ϊμαντα του ϋποδηματος αυ
1,J 1:27,aleph,[ADD],ο,addition,οπισω μου ερχο μενος ου,ο οπισω μου ερχομε νος ου
1,J 1:27,aleph,[ADD],εγω,addition,οπισω μου ερχο μενος ου ουκ ειμι εγω αξιος ϊνα,οπισω μου ερχομε νος ου εγω ουκ ειμι α ξιος ῐνα
1,J 1:27,A,[ADD],εγω,addition,οπισω μου ερχο μενος ου ουκ ειμι εγω αξιος ϊνα,εμπροσθεν μου γε γονεν ου εγω ουκ ειμι αξιος ινα λυσω
1,J 1:27,A,εγω,[OMIT],omission,ερχο μενος ου ουκ ειμι εγω αξιος ϊνα λυσω αυτου τον,γονεν ου εγω ουκ ειμι αξιος ινα λυσω αυτου τον
1,J 1:31,aleph,[ADD],τω,addition,τουτο ηλθον ε γω εν ϋδατι βαπτιζω¯,τουτο ηλ θον εγω εν τω ϋδατι βαπτιζων
1,J 1:33,P66,[ADD],τω,addition,πεμ ψας με βαπτιζειν εν ϋδατι εκεινος μοι ειπε¯ εφ,πεμψας με βπτιζειν βαπτιζειν εν τω ϋδατι εκεινος μοι ειπεν εφ
1,J 1:33,aleph,[ADD],τω,addition,πεμ ψας με βαπτιζειν εν ϋδατι εκεινος μοι ειπε¯ εφ,ο πεμψας με βαπτιζειν εν τω ϋδατι εκινος μοι ειπεν εφ
1,J 1:33,A,ουτος,αυτος,substitution_morphological,και με νον επ αυτον ουτος εστιν ο βαπτιζων ε¯ πνευματι,καταβαινον και μενον επ αυτον αυτος εστιν ο βαπτιζων εν πνι
1,J 1:37,P66,[ADD],αυτου,addition,και ηκου σαν οι δυο μαθηται αυ του λαλουντος και,και ηκουσαν οι δυο αυτου μαθηται λαλουντος και ηκολουθησαν τω
1,J 1:38,aleph,[ADD],κατα,addition,οι δε ειπαν αυτω ραββει ο λε γεται μεθερμηνευο μενον,οι δε ειπον αυτω ραββει κατα ο λεγεται ερμηνευ ομενον μεθερμηνευομενον
1,J 1:39,aleph,[ADD],δε,addition,εμειναν την ημερα¯ εκεινην ωρα ην ως δε κατη,την η μεραν εκεινην ωρα δε ην ως δεκατη
1,J 1:40,A,ην,Ην δε,substitution_lexical,ην ανδρεας ο α δελφος σιμωνος,Ην δε ανδρεας ο αδελφος σι μωνος
1,J 1:42,aleph,ο,[OMIT],omission,τον ϊν εμ βλεψας αυτω ο ις ει πεν συ ει,προς τον ιν εμβλεψας αυτω ις ειπεν συ ει σι
1,J 1:46,aleph,και,[OMIT],omission,και ειπεν αυτω ναθαναηλ εκ ναζαρετ,ειπεν αυτω ναθαναηλ εκ ναζαρετ
1,J 1:47,P66,[ADD],ο,addition,ειδεν ις τον ναθανα ηλ ερχομενον,ειδεν ο ις τον ναθανα ηλ' ερχομενον
1,J 1:49,P66,ει,[OMIT],omission,του θυ συ βασιλευ βασιλευς ει του ϊσ ραηλ,θυ συ ει ο βασιλευς του ϊσραηλ'
1,J 1:49,aleph,ει,[OMIT],omission,του θυ συ βασιλευ βασιλευς ει του ϊσ ραηλ,θυ συ ει ο βασιλευς του ιηλ
2,J 2:3,P66,[ADD],τω,addition,ρησαντος οινου λεγει η μητηρ του ιυ προς αυ τον,ϋστερησαντος οινου λεγει η μητηρ τω του ιυ προς αυτον οινον
2,J 2:5,aleph,τι,[OMIT],omission,αυτου τοις δια κονοις ο τι αν λεγη ϋμι¯ ποιησατε,αυτου τοις διακονοις οτι ο αν λεγη ϋμι¯ ποιησατε
2,J 2:10,aleph,αυτω,[OMIT],omission,και λεγει αυτω πας ανθρωπος πρωτον το¯ καλον,και λεγει πας ανθρωπος πρω τον τον
2,J 2:11,P66,της,τη,substitution_morphological,ων ο ις εν κανα της γα λειλαιας και εφανερω σεν,σημειων ο ις εν κανα τη γα λειλαιας και εφανερωσεν την
2,J 2:11,aleph,[ADD],την,addition,ταυτην εποι ησεν αρχην των σημι ων ο,ταυτην εποι ησεν την αρχην των σημιων ο ις
2,J 2:12,P66,[ADD],αυτου,addition,μητηρ αυτου και οι αδελφοι και οι μα θηται αυτου,μητηρ' αυτου και οι αδελφοι αυτου και οι μαθηται αυ του
