chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
1,J 1:1,P66,Εν,[OMIT],omission,εν Εν CONTENT ην ο CONTENT και,εν CONTENT ην ο CONTENT και
1,J 1:1,aleph,Εν,[OMIT],omission,εν Εν CONTENT ην ο CONTENT και,εν CONTENT ην ο CONTENT και
1,J 1:1,A,εν,[OMIT],omission,εν Εν CONTENT ην ο CONTENT,Εν CONTENT ην ο CONTENT
1,J 1:1,A,ην,CONTENT,substitution_morphological,ο CONTENT και ο CONTENT ην προς τον CONTENT και CONTENT,ο CONTENT και ο CONTENT CONTENT προς τον CONTENT και CONTENT
1,J 1:1,D,Εν,[OMIT],omission,εν Εν CONTENT ην ο CONTENT και,εν CONTENT ην ο CONTENT και
1,J 1:2,aleph,ουτος,ου CONTENT,substitution_morphological,ουτος ην εν CONTENT προς τον,ου CONTENT ην εν CONTENT προς τον
1,J 1:2,aleph,CONTENT,CONTENT,substitution_lexical,ην εν CONTENT προς τον CONTENT,ην εν CONTENT προς τον CONTENT
1,J 1:3,P66,CONTENT το,CONTENT,substitution_morphological,CONTENT CONTENT αυτου CONTENT το και χωρις αυτου CONTENT CONTENT,CONTENT CONTENT αυτου CONTENT και χωρις αυτου CONTENT CONTENT
1,J 1:3,P66,CONTENT CONTENT ουδε εν,CONTENT CONTENT,substitution_morphological,CONTENT το και χωρις αυτου CONTENT CONTENT ουδε εν ο CONTENT,αυτου CONTENT και χωρις αυτου CONTENT CONTENT ο CONTENT
1,J 1:3,P66,CONTENT,CONTENT,substitution_morphological,CONTENT CONTENT ουδε εν ο CONTENT,χωρις αυτου CONTENT CONTENT ο CONTENT
1,J 1:3,aleph,CONTENT,CONTENT τα,substitution_morphological,CONTENT CONTENT αυτου CONTENT το και,CONTENT τα CONTENT αυτου CONTENT το και
1,J 1:3,aleph,CONTENT CONTENT,CONTENT CONTENT,substitution_morphological,CONTENT το και χωρις αυτου CONTENT CONTENT ουδε εν ο CONTENT,CONTENT το και χωρις αυτου CONTENT CONTENT ουδε εν ο CONTENT
1,J 1:3,aleph,CONTENT,CONTENT,substitution_morphological,CONTENT CONTENT ουδε εν ο CONTENT,CONTENT CONTENT ουδε εν ο CONTENT
1,J 1:3,A,CONTENT το,CONTENT,substitution_morphological,CONTENT CONTENT αυτου CONTENT το και χωρις αυτου CONTENT CONTENT,CONTENT CONTENT αυτου CONTENT και CONTENT CONTENT αυτου CONTENT
1,J 1:3,A,χωρις,CONTENT CONTENT,substitution_morphological,CONTENT αυτου CONTENT το και χωρις αυτου CONTENT CONTENT ουδε εν,CONTENT CONTENT αυτου CONTENT και CONTENT CONTENT αυτου CONTENT ουδε εν ο
1,J 1:3,A,CONTENT CONTENT,CONTENT,substitution_morphological,CONTENT το και χωρις αυτου CONTENT CONTENT ουδε εν ο CONTENT,CONTENT και CONTENT CONTENT αυτου CONTENT ουδε εν ο CONTENT
1,J 1:3,A,CONTENT,CONTENT,substitution_morphological,CONTENT CONTENT ουδε εν ο CONTENT,αυτου CONTENT ουδε εν ο CONTENT
1,J 1:3,D,[ADD],δια,addition,CONTENT CONTENT αυτου CONTENT το και χωρις,CONTENT CONTENT δια αυτου CONTENT και χωρις αυτου
1,J 1:3,D,CONTENT το,CONTENT,substitution_morphological,CONTENT CONTENT αυτου CONTENT το και χωρις αυτου CONTENT CONTENT,CONTENT CONTENT δια αυτου CONTENT και χωρις αυτου CONTENT CONTENT
1,J 1:3,D,CONTENT CONTENT ουδε εν,CONTENT CONTENT,substitution_morphological,CONTENT το και χωρις αυτου CONTENT CONTENT ουδε εν ο CONTENT,αυτου CONTENT και χωρις αυτου CONTENT CONTENT ο CONTENT
1,J 1:3,D,CONTENT,CONTENT,substitution_morphological,CONTENT CONTENT ουδε εν ο CONTENT,χωρις αυτου CONTENT CONTENT ο CONTENT
1,J 1:4,P66,εν,[OMIT],omission,εν αυτω CONTENT ην και η,αυτω CONTENT ην και η
1,J 1:4,P66,CONTENT,CONTENT,substitution_morphological,CONTENT ην το CONTENT των CONTENT,CONTENT ην το CONTENT των CONTENT
1,J 1:4,aleph,αυτω,CONTENT τω,substitution_morphological,εν αυτω CONTENT ην και η CONTENT,εν CONTENT τω CONTENT CONTENT και η CONTENT
1,J 1:4,aleph,ην,CONTENT,substitution_lexical,εν αυτω CONTENT ην και η CONTENT ην το,εν CONTENT τω CONTENT CONTENT και η CONTENT ην το
1,J 1:4,aleph,CONTENT,CONTENT CONTENT,substitution_morphological,CONTENT ην το CONTENT των CONTENT,CONTENT ην το CONTENT των CONTENT CONTENT
1,J 1:4,A,CONTENT,CONTENT,substitution_morphological,CONTENT ην το CONTENT των CONTENT,CONTENT ην το CONTENT των CONTENT
1,J 1:4,D,ην,CONTENT,substitution_lexical,εν αυτω CONTENT ην και η CONTENT ην το,εν αυτω CONTENT CONTENT και η CONTENT ην το
1,J 1:5,P66,CONTENT CONTENT,CONTENT,substitution_morphological,το CONTENT εν τη CONTENT CONTENT CONTENT και η CONTENT CONTENT ου,το CONTENT εν τη CONTENT CONTENT και η CONTENT CONTENT ου
