chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
1,J 1:1,P66,η¯,ην,substitution_morphological,ο λογος και ο λογος η¯ προς τον θν και θς,ο λογος και ο λογος ην προς τον θν και θς
1,J 1:1,aleph,η¯,ην,substitution_morphological,ο λογος και ο λογος η¯ προς τον θν και θς,ο λογος και ο λογος ην προς τον θν και θς
1,J 1:1,B,[ADD],εν,addition,Εν αρχη ην ο λογος,εν Εν αρχη ην ο λογος
1,J 1:1,B,η¯,ην,substitution_morphological,ο λογος και ο λογος η¯ προς τον θν και θς,ο λογος και ο λογος ην προς τον θν και θς
1,J 1:1,D,η¯,ην,substitution_morphological,ο λογος και ο λογος η¯ προς τον θν και θς,ο λογος και ο λογος ην προς τον θν και θς
1,J 1:2,aleph,ουτος,ου τος,substitution_morphological,ουτος ην εν αρχη προς τον,ου τος ην εν αρχη προς τον
1,J 1:2,aleph,θν,θεον,substitution_lexical,ην εν αρχη προς τον θν,ην εν αρχη προς τον θεον
1,J 1:3,P66,χω ρεις,χωρις,substitution_morphological,παντα δι αυτου εγενετο και χω ρεις αυτου εγενετο ουδε εν ο,παντα δι αυτου εγενετο και χωρις αυτου εγενετο ουδεν ο γεγονεν
1,J 1:3,P66,ουδε εν,ουδεν,substitution_morphological,και χω ρεις αυτου εγενετο ουδε εν ο γεγονεν,εγενετο και χωρις αυτου εγενετο ουδεν ο γεγονεν
1,J 1:3,aleph,παντα,πα¯ τα,substitution_morphological,παντα δι αυτου εγενετο και χω,πα¯ τα δι αυτου εγενε το και
1,J 1:3,aleph,εγενετο,εγενε το,substitution_morphological,παντα δι αυτου εγενετο και χω ρεις αυτου εγενετο,πα¯ τα δι αυτου εγενε το και χωρις αυτου εγενετο ουδεν
1,J 1:3,aleph,χω ρεις,χωρις,substitution_morphological,παντα δι αυτου εγενετο και χω ρεις αυτου εγενετο ουδε εν ο,δι αυτου εγενε το και χωρις αυτου εγενετο ουδεν ουδε εν
1,J 1:3,aleph,[ADD],ουδεν,addition,και χω ρεις αυτου εγενετο ουδε εν ο γεγονεν,το και χωρις αυτου εγενετο ουδεν ουδε εν ο γεγονεν
1,J 1:3,B,εγενετο,εγενε το,substitution_morphological,παντα δι αυτου εγενετο και χω ρεις αυτου εγενετο,παντα δι αυτου εγενε το και χωρις αυτου εγε νετο
1,J 1:3,B,χω ρεις,χωρις,substitution_morphological,παντα δι αυτου εγενετο και χω ρεις αυτου εγενετο ουδε εν ο,δι αυτου εγενε το και χωρις αυτου εγε νετο ουδε εν
1,J 1:3,B,εγενετο,εγε νετο,substitution_morphological,εγενετο και χω ρεις αυτου εγενετο ουδε εν ο γεγονεν,εγενε το και χωρις αυτου εγε νετο ουδε εν ο γεγονε¯
1,J 1:3,B,γεγονεν,γεγονε¯,substitution_morphological,αυτου εγενετο ουδε εν ο γεγονεν,εγε νετο ουδε εν ο γεγονε¯
1,J 1:3,D,[ADD],δια αυτου ενεγετο και χωρις,addition,παντα δι αυτου εγενετο και χω ρεις,παντα δι δια αυτου ενεγετο και χωρις αυτου εγενετο ουδεν ο γεγονεν
1,J 1:3,D,και χω ρεις αυτου εγενετο ουδε εν,ουδεν,substitution_lexical,παντα δι αυτου εγενετο και χω ρεις αυτου εγενετο ουδε εν ο γεγονεν,ενεγετο και χωρις αυτου εγενετο ουδεν ο γεγονεν
1,J 1:4,P66,εν,[OMIT],omission,εν αυτω ζωη ην και η,αυτω ζωη ην και η
1,J 1:4,P66,ανων,ανθρωπω¯,substitution_morphological,ζωη ην το φως των ανων,ζωη ην το φως των ανθρωπω¯
1,J 1:4,aleph,αυτω,αυ τω,substitution_morphological,εν αυτω ζωη ην και η ζωη,εν αυ τω ζωη εστιν και η ζωη
1,J 1:4,aleph,ην,εστιν,substitution_lexical,εν αυτω ζωη ην και η ζωη ην το,εν αυ τω ζωη εστιν και η ζωη ην το
1,J 1:4,aleph,ανων,ανθρω πων,substitution_morphological,ζωη ην το φως των ανων,ζωη ην το φως των ανθρω πων
1,J 1:4,B,ανων,ανθρωπων,substitution_morphological,ζωη ην το φως των ανων,ζωη ην το φως των ανθρωπων
1,J 1:4,D,ην,εστιν,substitution_lexical,εν αυτω ζωη ην και η ζωη ην το,εν αυτω ζωη εστιν και η ζωη ην το
1,J 1:4,D,ανων,ανθρωπων,substitution_morphological,ζωη ην το φως των ανων,ζωη ην το φως των ανθρωπων
1,J 1:5,P66,φαι νει,φαινει,substitution_morphological,το φως εν τη σκοτια φαι νει και η σκοτια αυτο ου,το φως εν τη σκοτια φαινει και η σκοτια αυτο ου
1,J 1:5,P66,κατε λαβεν,κατελαβεν,substitution_morphological,και η σκοτια αυτο ου κατε λαβεν,και η σκοτια αυτο ου κατελαβεν
1,J 1:5,aleph,σκοτια,σκοτι α,substitution_morphological,σκοτια φαι νει και η σκοτια αυτο ου κατε λαβεν,σκοτια φαι νει και η σκοτι α αυτο ου κατε λαβεν
1,J 1:5,B,κατε λαβεν,κατελαβεν,substitution_morphological,και η σκοτια αυτο ου κατε λαβεν,και η σκοτια αυτο ου κατελαβεν
1,J 1:5,D,φαι νει,φαινει,substitution_morphological,το φως εν τη σκοτια φαι νει και η σκοτια αυτο ου,το φως εν τη σκοτια φαινει και η σκοτια αυτο ου
1,J 1:5,D,κατε λαβεν,κατελαβεν,substitution_morphological,και η σκοτια αυτο ου κατε λαβεν,και η σκοτια αυτο ου κατελαβεν
1,J 1:6,P66,ανος απε Σταλμενος παρα,ανθρωπος απεσταλμενος πα ρα,substitution_morphological,εγενετο ανος απε Σταλμενος παρα θυ ονομα αυ τω ιωαννης,εγενετο ανθρωπος απεσταλμενος πα ρα θυ ονομα αυτω ϊωαννης
1,J 1:6,P66,αυ τω ιωαννης,αυτω ϊωαννης,substitution_morphological,απε Σταλμενος παρα θυ ονομα αυ τω ιωαννης,απεσταλμενος πα ρα θυ ονομα αυτω ϊωαννης
1,J 1:6,aleph,ανος απε Σταλμενος,ανθρω πος απεσταλμε νος,substitution_morphological,εγενετο ανος απε Σταλμενος παρα θυ ονομα αυ τω,εγενετο ανθρω πος απεσταλμε νος παρα θυ ην ο νομα
1,J 1:6,aleph,ονομα αυ τω ιωαννης,ην ο νομα αυτω ϊω αννης,substitution_morphological,ανος απε Σταλμενος παρα θυ ονομα αυ τω ιωαννης,πος απεσταλμε νος παρα θυ ην ο νομα αυτω ϊω αννης
