chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
1,J 1:1,P66,Εν,[OMIT],omission,εν Εν αρχη ην ο λογος και,εν αρχη ην ο λογος και
1,J 1:1,aleph,Εν,[OMIT],omission,εν Εν αρχη ην ο λογος και,εν αρχη ην ο λογος και
1,J 1:1,A,εν,[OMIT],omission,εν Εν αρχη ην ο λογος,Εν αρχη ην ο λογος
1,J 1:1,A,ην,η¯,substitution_morphological,ο λογος και ο λογος ην προς τον θν και θς,ο λογος και ο λογος η¯ προς τον θν και θς
1,J 1:1,D,Εν,[OMIT],omission,εν Εν αρχη ην ο λογος και,εν αρχη ην ο λογος και
1,J 1:2,aleph,ουτος,ου τος,substitution_morphological,ουτος ην εν αρχη προς τον,ου τος ην εν αρχη προς τον
1,J 1:2,aleph,θν,θεον,substitution_lexical,ην εν αρχη προς τον θν,ην εν αρχη προς τον θεον
1,J 1:3,P66,εγενε το,εγενετο,substitution_morphological,παντα δι αυτου εγενε το και χωρις αυτου εγε νετο,παντα δι αυτου εγενετο και χωρις αυτου εγενετο ουδεν
1,J 1:3,P66,εγε νετο ουδε εν,εγενετο ουδεν,substitution_morphological,εγενε το και χωρις αυτου εγε νετο ουδε εν ο γεγονε¯,αυτου εγενετο και χωρις αυτου εγενετο ουδεν ο γεγονεν
1,J 1:3,P66,γεγονε¯,γεγονεν,substitution_morphological,εγε νετο ουδε εν ο γεγονε¯,χωρις αυτου εγενετο ουδεν ο γεγονεν
1,J 1:3,aleph,παντα,πα¯ τα,substitution_morphological,παντα δι αυτου εγενε το και,πα¯ τα δι αυτου εγενε το και
1,J 1:3,aleph,εγε νετο,εγενετο ουδεν,substitution_morphological,εγενε το και χωρις αυτου εγε νετο ουδε εν ο γεγονε¯,εγενε το και χωρις αυτου εγενετο ουδεν ουδε εν ο γεγονεν
1,J 1:3,aleph,γεγονε¯,γεγονεν,substitution_morphological,εγε νετο ουδε εν ο γεγονε¯,εγενετο ουδεν ουδε εν ο γεγονεν
1,J 1:3,A,εγενε το,εγενετο,substitution_morphological,παντα δι αυτου εγενε το και χωρις αυτου εγε νετο,παντα δι αυτου εγενετο και χω ρεις αυτου εγενετο
1,J 1:3,A,χωρις,χω ρεις,substitution_morphological,δι αυτου εγενε το και χωρις αυτου εγε νετο ουδε εν,παντα δι αυτου εγενετο και χω ρεις αυτου εγενετο ουδε εν ο
1,J 1:3,A,εγε νετο,εγενετο,substitution_morphological,εγενε το και χωρις αυτου εγε νετο ουδε εν ο γεγονε¯,εγενετο και χω ρεις αυτου εγενετο ουδε εν ο γεγονεν
1,J 1:3,A,γεγονε¯,γεγονεν,substitution_morphological,εγε νετο ουδε εν ο γεγονε¯,αυτου εγενετο ουδε εν ο γεγονεν
1,J 1:3,D,[ADD],δια,addition,παντα δι αυτου εγενε το και χωρις,παντα δι δια αυτου ενεγετο και χωρις αυτου
1,J 1:3,D,εγενε το,ενεγετο,substitution_morphological,παντα δι αυτου εγενε το και χωρις αυτου εγε νετο,παντα δι δια αυτου ενεγετο και χωρις αυτου εγενετο ουδεν
1,J 1:3,D,εγε νετο ουδε εν,εγενετο ουδεν,substitution_morphological,εγενε το και χωρις αυτου εγε νετο ουδε εν ο γεγονε¯,αυτου ενεγετο και χωρις αυτου εγενετο ουδεν ο γεγονεν
1,J 1:3,D,γεγονε¯,γεγονεν,substitution_morphological,εγε νετο ουδε εν ο γεγονε¯,χωρις αυτου εγενετο ουδεν ο γεγονεν
1,J 1:4,P66,εν,[OMIT],omission,εν αυτω ζωη ην και η,αυτω ζωη ην και η
1,J 1:4,P66,ανθρωπων,ανθρωπω¯,substitution_morphological,ζωη ην το φως των ανθρωπων,ζωη ην το φως των ανθρωπω¯
1,J 1:4,aleph,αυτω,αυ τω,substitution_morphological,εν αυτω ζωη ην και η ζωη,εν αυ τω ζωη εστιν και η ζωη
1,J 1:4,aleph,ην,εστιν,substitution_lexical,εν αυτω ζωη ην και η ζωη ην το,εν αυ τω ζωη εστιν και η ζωη ην το
1,J 1:4,aleph,ανθρωπων,ανθρω πων,substitution_morphological,ζωη ην το φως των ανθρωπων,ζωη ην το φως των ανθρω πων
1,J 1:4,A,ανθρωπων,ανων,substitution_morphological,ζωη ην το φως των ανθρωπων,ζωη ην το φως των ανων
1,J 1:4,D,ην,εστιν,substitution_lexical,εν αυτω ζωη ην και η ζωη ην το,εν αυτω ζωη εστιν και η ζωη ην το
1,J 1:5,P66,φαι νει,φαινει,substitution_morphological,το φως εν τη σκοτια φαι νει και η σκοτια αυτο ου,το φως εν τη σκοτια φαινει και η σκοτια αυτο ου
1,J 1:5,aleph,σκοτια,σκοτι α,substitution_morphological,σκοτια φαι νει και η σκοτια αυτο ου κατελαβεν,σκοτια φαι νει και η σκοτι α αυτο ου κατε λαβεν
1,J 1:5,aleph,κατελαβεν,κατε λαβεν,substitution_morphological,και η σκοτια αυτο ου κατελαβεν,η σκοτι α αυτο ου κατε λαβεν
1,J 1:5,A,κατελαβεν,κατε λαβεν,substitution_morphological,και η σκοτια αυτο ου κατελαβεν,και η σκοτια αυτο ου κατε λαβεν
1,J 1:5,D,φαι νει,φαινει,substitution_morphological,το φως εν τη σκοτια φαι νει και η σκοτια αυτο ου,το φως εν τη σκοτια φαινει και η σκοτια αυτο ου
1,J 1:6,P66,εγενε †το,εγενετο,substitution_morphological,εγενε †το ανθρωπος απεσταλ μενος παρα θυ,εγενετο ανθρωπος απεσταλμενος πα ρα θυ
1,J 1:6,P66,απεσταλ μενος παρα,απεσταλμενος πα ρα,substitution_morphological,εγενε †το ανθρωπος απεσταλ μενος παρα θυ ονομα αυτω ϊωανης,εγενετο ανθρωπος απεσταλμενος πα ρα θυ ονομα αυτω ϊωαννης
1,J 1:6,P66,ϊωανης,ϊωαννης,substitution_morphological,μενος παρα θυ ονομα αυτω ϊωανης,πα ρα θυ ονομα αυτω ϊωαννης
1,J 1:6,aleph,εγενε †το ανθρωπος απεσταλ μενος,εγενετο ανθρω πος απεσταλμε νος,substitution_morphological,εγενε †το ανθρωπος απεσταλ μενος παρα θυ ονομα αυτω ϊωανης,εγενετο ανθρω πος απεσταλμε νος παρα θυ ην ο νομα
1,J 1:6,aleph,ονομα,ην ο νομα,substitution_morphological,ανθρωπος απεσταλ μενος παρα θυ ονομα αυτω ϊωανης,πος απεσταλμε νος παρα θυ ην ο νομα αυτω ϊω αννης
1,J 1:6,aleph,ϊωανης,ϊω αννης,substitution_morphological,μενος παρα θυ ονομα αυτω ϊωανης,θυ ην ο νομα αυτω ϊω αννης
1,J 1:6,A,εγενε †το ανθρωπος απεσταλ μενος,εγενετο ανος απε Σταλμενος,substitution_morphological,εγενε †το ανθρωπος απεσταλ μενος παρα θυ ονομα αυτω ϊωανης,εγενετο ανος απε Σταλμενος παρα θυ ονομα αυ τω
1,J 1:6,A,αυτω ϊωανης,αυ τω ιωαννης,substitution_morphological,απεσταλ μενος παρα θυ ονομα αυτω ϊωανης,απε Σταλμενος παρα θυ ονομα αυ τω ιωαννης
1,J 1:6,D,εγενε †το,εγενετο,substitution_morphological,εγενε †το ανθρωπος απεσταλ μενος παρα θυ,εγενετο ανθρωπος απεσταλμενος παρα κυ θυ
1,J 1:6,D,απεσταλ μενος,απεσταλμενος,substitution_morphological,εγενε †το ανθρωπος απεσταλ μενος παρα θυ ονομα αυτω ϊωανης,εγενετο ανθρωπος απεσταλμενος παρα κυ θυ εν ην
