chapter,verse,manuscript,base_reading,ms_reading,type,base_context_10w,ms_context_10w
1,J 1:1,A,ην,η¯,substitution_morphological,ο λογος και ο λογος ην προς τον θν και θς,ο λογος και ο λογος η¯ προς τον θν και θς
1,J 1:1,B,[ADD],Εν,addition,εν αρχη ην ο λογος και,εν Εν αρχη ην ο λογος και
1,J 1:2,P66,ου τος,ουτος,substitution_morphological,ου τος ην εν αρχη προς τον,ουτος ην εν αρχη προς τον
1,J 1:2,P66,θεον,θν,substitution_lexical,ην εν αρχη προς τον θεον,ην εν αρχη προς τον θν
1,J 1:2,A,ου τος,ουτος,substitution_morphological,ου τος ην εν αρχη προς τον,ουτος ην εν αρχη προς τον
1,J 1:2,A,θεον,θν,substitution_lexical,ην εν αρχη προς τον θεον,ην εν αρχη προς τον θν
1,J 1:2,B,ου τος,ουτος,substitution_morphological,ου τος ην εν αρχη προς τον,ουτος ην εν αρχη προς τον
1,J 1:2,B,θεον,θν,substitution_lexical,ην εν αρχη προς τον θεον,ην εν αρχη προς τον θν
1,J 1:2,D,ου τος,ουτος,substitution_morphological,ου τος ην εν αρχη προς τον,ουτος ην εν αρχη προς τον
1,J 1:2,D,θεον,θν,substitution_lexical,ην εν αρχη προς τον θεον,ην εν αρχη προς τον θν
1,J 1:3,P66,πα¯ τα,παντα,substitution_morphological,πα¯ τα δι αυτου εγενε το και,παντα δι αυτου εγενετο και χωρις
1,J 1:3,P66,εγενε το,εγενετο,substitution_morphological,πα¯ τα δι αυτου εγενε το και χωρις αυτου εγενετο ουδεν,παντα δι αυτου εγενετο και χωρις αυτου εγενετο ουδεν
1,J 1:3,P66,ουδε εν,[OMIT],omission,και χωρις αυτου εγενετο ουδεν ουδε εν ο γεγονεν,και χωρις αυτου εγενετο ουδεν ο γεγονεν
1,J 1:3,A,πα¯ τα,παντα,substitution_morphological,πα¯ τα δι αυτου εγενε το και,παντα δι αυτου εγενετο και χω
1,J 1:3,A,εγενε το,εγενετο,substitution_morphological,πα¯ τα δι αυτου εγενε το και χωρις αυτου εγενετο ουδεν,παντα δι αυτου εγενετο και χω ρεις αυτου εγενετο
1,J 1:3,A,χωρις,χω ρεις,substitution_morphological,δι αυτου εγενε το και χωρις αυτου εγενετο ουδεν ουδε εν,παντα δι αυτου εγενετο και χω ρεις αυτου εγενετο ουδε εν ο
1,J 1:3,A,ουδεν,[OMIT],omission,το και χωρις αυτου εγενετο ουδεν ουδε εν ο γεγονεν,και χω ρεις αυτου εγενετο ουδε εν ο γεγονεν
1,J 1:3,B,πα¯ τα,παντα,substitution_morphological,πα¯ τα δι αυτου εγενε το και,παντα δι αυτου εγενε το και
1,J 1:3,B,εγενετο ουδεν,εγε νετο,substitution_morphological,εγενε το και χωρις αυτου εγενετο ουδεν ουδε εν ο γεγονεν,εγενε το και χωρις αυτου εγε νετο ουδε εν ο γεγονε¯
1,J 1:3,B,γεγονεν,γεγονε¯,substitution_morphological,εγενετο ουδεν ουδε εν ο γεγονεν,εγε νετο ουδε εν ο γεγονε¯
1,J 1:3,D,πα¯ τα,παντα,substitution_morphological,πα¯ τα δι αυτου εγενε το και,παντα δι δια αυτου ενεγετο και
1,J 1:3,D,[ADD],δια,addition,πα¯ τα δι αυτου εγενε το και χωρις,παντα δι δια αυτου ενεγετο και χωρις αυτου
1,J 1:3,D,εγενε το,ενεγετο,substitution_morphological,πα¯ τα δι αυτου εγενε το και χωρις αυτου εγενετο ουδεν,παντα δι δια αυτου ενεγετο και χωρις αυτου εγενετο ουδεν
1,J 1:3,D,ουδε εν,[OMIT],omission,και χωρις αυτου εγενετο ουδεν ουδε εν ο γεγονεν,και χωρις αυτου εγενετο ουδεν ο γεγονεν
1,J 1:4,P66,εν αυ τω,αυτω,substitution_morphological,εν αυ τω ζωη εστιν και η ζωη,αυτω ζωη ην και η ζωη
