manuscript,chapter,distance_to_global
P66,1,0.35835284
P66,2,0.4876625
P66,3,0.4733733
P66,4,0.17441297
P66,5,0.21517533
P66,6,0.39540458
P66,8,0.43259645
P66,9,0.3885687
P66,10,0.24714363
P66,11,0.27017194
P66,12,0.21276253
P66,13,0.18716103
P66,14,0.25409234
P66,15,0.38313544
P66,16,0.46386278
P66,17,0.52369976
P66,18,0.43877846
P66,19,0.37748265
P66,20,0.61807126
P66,21,0.7307544
aleph,1,0.24254507
aleph,2,0.3391931
aleph,3,0.53480256
aleph,4,0.1919089
aleph,5,0.3413177
aleph,6,0.2918443
aleph,8,0.48703235
aleph,9,0.33383417
aleph,10,0.30965608
aleph,11,0.24831116
aleph,12,0.35635257
aleph,13,0.29687303
aleph,14,0.3059255
aleph,15,0.3269015
aleph,16,0.26770782
aleph,17,0.33001226
aleph,18,0.17772031
aleph,19,0.21671784
aleph,20,0.28504765
aleph,21,0.4020638
B,1,0.3066706
B,2,0.6459851
B,3,0.8361968
B,4,0.39139736
B,5,0.40054387
B,6,0.47401512
B,8,0.4617185
B,9,0.42123008
B,10,0.43116325
B,11,0.44991344
B,12,0.48229098
B,13,0.615456
B,14,0.4626311
B,15,0.48062193
B,16,0.32715338
B,17,0.6957165
B,18,0.5382807
B,19,0.42145348
B,20,0.411623
B,21,0.7482668
D,1,0.34320873
D,3,0.48866498
D,4,0.18296635
D,5,0.1789583
D,6,0.14543372
D,8,0.6482941
D,9,0.21437979
D,10,0.19011724
D,11,0.25852245
D,12,0.15117425
D,13,0.26549035
D,14,0.37666303
D,15,0.33981454
D,16,0.3571124
D,17,0.29705
D,18,0.3481974
D,20,0.449
D,21,0.37604088
