manuscript,chapter,distance_to_global
P66,1,0.44429523
P66,2,0.46447164
P66,3,0.485211
P66,4,0.23428315
P66,5,0.3305068
P66,6,0.29986858
P66,7,0.36223918
P66,8,0.21853387
P66,9,0.40526003
P66,10,0.2687317
P66,11,0.36188263
P66,12,0.22371274
P66,13,0.26815408
P66,14,0.29298693
P66,15,0.40903544
P66,16,0.51200604
P66,17,0.5223603
P66,18,0.5410937
P66,19,0.4266042
P66,20,0.6894355
P66,21,0.81939185
aleph,1,0.63869685
aleph,2,0.45241147
aleph,3,0.421175
aleph,4,0.38621294
aleph,5,0.41307855
aleph,6,0.26598215
aleph,7,0.3251773
aleph,8,0.28948414
aleph,9,0.553876
aleph,10,0.43362367
aleph,11,0.46087432
aleph,12,0.5694782
aleph,13,0.53033197
aleph,14,0.46064007
aleph,15,0.4026214
aleph,16,0.6428519
aleph,17,0.39551347
aleph,18,0.40349936
aleph,19,0.5110034
aleph,20,0.5230127
aleph,21,0.6112107
A,1,0.3078755
A,2,0.6442044
A,3,0.83626074
A,4,0.40555227
A,5,0.3940404
A,6,0.47452456
A,8,0.4610924
A,9,0.39979923
A,10,0.44810522
A,11,0.45430315
A,12,0.48041135
A,13,0.60993636
A,14,0.46004695
A,15,0.481098
A,16,0.3272937
A,17,0.7030878
A,18,0.56514555
A,19,0.43581825
A,20,0.41671997
A,21,0.7414679
D,1,0.46359152
D,3,0.45910996
D,4,0.109464586
D,5,0.10716367
D,6,0.08066201
D,7,0.15246958
D,8,0.12129438
D,9,0.11119372
D,10,0.14376122
D,11,0.12136662
D,12,0.10231632
D,13,0.20615155
D,14,0.25272822
D,15,0.33412212
D,16,0.19496691
D,17,0.27764636
D,18,0.3563344
D,20,0.23408377
D,21,0.30615938
