manuscript,chapter,distance_to_global
P66,1,0.669825
P66,2,0.80356747
P66,3,0.66942275
P66,4,0.5428775
P66,5,0.8471137
P66,6,0.58653194
P66,7,0.63321567
P66,8,0.62453043
P66,9,0.4672506
P66,10,0.62217355
P66,11,0.638908
P66,12,0.5811571
P66,13,0.7034247
P66,14,0.73167217
P66,15,0.82187974
P66,16,0.79159474
P66,17,0.79919493
P66,18,0.9032571
P66,19,0.77009016
P66,20,0.92477775
P66,21,1.0486517
aleph,1,0.8354131
aleph,2,0.58478796
aleph,3,0.7082628
aleph,4,0.64467347
aleph,5,0.89706534
aleph,6,0.5650507
aleph,7,0.6299641
aleph,8,0.62835884
aleph,9,0.97112775
aleph,10,0.75245595
aleph,11,0.8827153
aleph,12,0.616635
aleph,13,0.60797954
aleph,14,0.8224224
aleph,15,0.99885905
aleph,16,0.68060756
aleph,17,0.88983405
aleph,18,0.930182
aleph,19,0.6578281
aleph,20,0.5904914
aleph,21,0.8094532
A,1,0.716371
A,2,0.85271466
A,3,0.82313037
A,4,0.73673755
A,5,0.6301208
A,6,0.6400852
A,8,0.7971587
A,9,0.6658678
A,10,0.5979147
A,11,0.5200956
A,12,0.79848605
A,13,0.7187237
A,14,0.90991336
A,15,0.7740697
A,16,0.71656936
A,17,0.67755497
A,18,0.8043039
A,19,0.5466453
A,20,0.8325502
A,21,0.68823177
D,1,0.89047766
D,3,0.9523985
D,4,0.52669257
D,5,0.5251544
D,6,0.31547123
D,7,0.5105082
D,8,0.42911547
D,9,0.42258102
D,10,0.5615135
D,11,0.36154997
D,12,0.58598125
D,13,0.481144
D,14,0.7053838
D,15,0.8270011
D,16,0.7679361
D,17,0.59858143
D,18,0.72766364
D,20,0.47215074
D,21,0.5836812
