manuscript,chapter,distance_to_global
P66,1,0.59443676
P66,2,1.0941378
P66,3,0.7849902
P66,4,0.84667313
P66,5,0.5503305
P66,6,0.89301205
P66,7,0.89817214
P66,8,0.66419685
P66,9,0.5839534
P66,10,0.79813784
P66,11,0.948496
P66,12,0.61463535
P66,13,0.8123436
P66,14,0.7971308
P66,15,0.46789026
P66,16,0.33545274
P66,17,0.43499267
P66,18,0.59381115
P66,19,0.5748389
P66,20,0.524015
P66,21,0.7960739
aleph,1,0.91272557
aleph,2,0.6561158
aleph,3,0.6434107
aleph,4,0.62978303
aleph,5,0.5490934
aleph,6,0.41487622
aleph,7,0.66816556
aleph,8,0.6707177
aleph,9,0.6794688
aleph,10,0.5219777
aleph,11,0.63405895
aleph,12,0.494941
aleph,13,0.5705771
aleph,14,0.505298
aleph,15,0.7543426
aleph,16,0.8229262
aleph,17,0.71980846
aleph,18,0.47963846
aleph,19,0.42495805
aleph,20,0.48014313
aleph,21,0.51755136
A,1,0.51851106
A,2,0.82260716
A,3,0.40865737
A,4,0.26404732
A,5,0.13700128
A,6,0.17404723
A,8,0.29949856
A,9,0.35807127
A,10,0.20281917
A,11,0.3175699
A,12,0.2574485
A,13,0.18903184
A,14,0.093741715
A,15,0.12489426
A,16,0.077709675
A,17,0.27945387
A,18,0.41783237
A,19,0.2979082
A,20,0.35246676
A,21,0.8994107
D,1,0.59974724
D,3,0.3526566
D,4,0.40669137
D,5,0.16343081
D,6,0.20303553
D,7,0.2261439
D,8,0.29863596
D,9,0.16595495
D,10,0.23763102
D,11,0.2630992
D,12,0.153701
D,13,0.27841872
D,14,0.47560626
D,15,0.4683804
D,16,0.21544963
D,17,0.37370545
D,18,0.986715
D,20,0.27008748
D,21,0.4902689
