manuscript,chapter,distance_to_global
P66,1,0.85688585
P66,3,0.85015285
P66,4,0.23357022
P66,5,0.31032395
P66,6,0.41824389
P66,8,0.40432322
P66,9,0.44424748
P66,10,0.26368266
P66,11,0.34786344
P66,12,0.22265089
P66,13,0.25650364
P66,14,0.24970376
P66,15,0.37060678
P66,16,0.48187983
P66,17,0.5007514
P66,18,0.66154826
P66,20,0.63528806
P66,21,0.82146585
aleph,1,0.6642022
aleph,3,0.8824514
aleph,4,0.34110272
aleph,5,0.3838796
aleph,6,0.49992353
aleph,8,0.668458
aleph,9,0.5288336
aleph,10,0.40629494
aleph,11,0.45162606
aleph,12,0.5062524
aleph,13,0.5306524
aleph,14,0.4856798
aleph,15,0.3774835
aleph,16,0.5889259
aleph,17,0.3801965
aleph,18,0.6240195
aleph,20,0.50726044
aleph,21,0.5947666
A,1,0.68857676
A,3,0.7522088
A,4,0.40809548
A,5,0.35497236
A,6,0.53202873
A,8,0.4581251
A,9,0.41613728
A,10,0.4217232
A,11,0.446411
A,12,0.49640965
A,13,0.6143643
A,14,0.38765788
A,15,0.43533093
A,16,0.35382897
A,17,0.6729628
A,18,0.94140476
A,20,0.5511903
A,21,0.8898101
D,1,0.4564001
D,3,0.44434798
D,4,0.109683275
D,5,0.10893518
D,6,0.19270414
D,8,0.32552677
D,9,0.10720873
D,10,0.1477282
D,11,0.11799073
D,12,0.09457809
D,13,0.20219302
D,14,0.22702962
D,15,0.29350495
D,16,0.20358127
D,17,0.26969767
D,18,0.36041743
D,20,0.27511913
D,21,0.33991492
