manuscript,chapter,verses_available,verses_total,coverage_pct
P66,1,51,51,100.0
P66,2,25,25,100.0
P66,3,36,36,100.0
P66,4,54,54,100.0
P66,5,47,47,100.0
P66,6,48,71,67.61
P66,7,53,53,100.0
P66,8,59,59,100.0
P66,9,41,41,100.0
P66,10,42,42,100.0
P66,11,57,57,100.0
P66,12,50,50,100.0
P66,13,38,38,100.0
P66,14,28,31,90.32
P66,15,25,27,92.59
P66,16,30,33,90.91
P66,17,26,26,100.0
P66,18,40,40,100.0
P66,19,42,42,100.0
P66,20,29,31,93.55
P66,21,9,25,36.0
aleph,1,51,51,100.0
aleph,2,25,25,100.0
aleph,3,36,36,100.0
aleph,4,54,54,100.0
aleph,5,47,47,100.0
aleph,6,71,71,100.0
aleph,7,53,53,100.0
aleph,8,59,59,100.0
aleph,9,41,41,100.0
aleph,10,42,42,100.0
aleph,11,57,57,100.0
aleph,12,50,50,100.0
aleph,13,38,38,100.0
aleph,14,31,31,100.0
aleph,15,27,27,100.0
aleph,16,33,33,100.0
aleph,17,26,26,100.0
aleph,18,40,40,100.0
aleph,19,42,42,100.0
aleph,20,31,31,100.0
aleph,21,25,25,100.0
A,1,51,51,100.0
A,2,25,25,100.0
A,3,36,36,100.0
A,4,54,54,100.0
A,5,47,47,100.0
A,6,50,71,70.42
A,7,0,53,0.0
A,8,8,59,13.56
A,9,41,41,100.0
A,10,42,42,100.0
A,11,57,57,100.0
A,12,50,50,100.0
A,13,38,38,100.0
A,14,31,31,100.0
A,15,27,27,100.0
A,16,33,33,100.0
A,17,26,26,100.0
A,18,40,40,100.0
A,19,42,42,100.0
A,20,31,31,100.0
A,21,25,25,100.0
B,1,51,51,100.0
B,2,25,25,100.0
B,3,36,36,100.0
B,4,54,54,100.0
B,5,47,47,100.0
B,6,71,71,100.0
B,7,53,53,100.0
B,8,59,59,100.0
B,9,41,41,100.0
B,10,42,42,100.0
B,11,57,57,100.0
B,12,50,50,100.0
B,13,38,38,100.0
B,14,31,31,100.0
B,15,27,27,100.0
B,16,33,33,100.0
B,17,26,26,100.0
B,18,40,40,100.0
B,19,42,42,100.0
B,20,31,31,100.0
B,21,25,25,100.0
D,1,16,51,31.37
D,2,0,25,0.0
D,3,11,36,30.56
D,4,54,54,100.0
D,5,47,47,100.0
D,6,71,71,100.0
D,7,53,53,100.0
D,8,59,59,100.0
D,9,41,41,100.0
D,10,42,42,100.0
D,11,57,57,100.0
D,12,50,50,100.0
D,13,38,38,100.0
D,14,31,31,100.0
D,15,27,27,100.0
D,16,33,33,100.0
D,17,26,26,100.0
D,18,13,40,32.5
D,19,0,42,0.0
D,20,19,31,61.29
D,21,25,25,100.0
